"product","div","category","brand","cpg","bfpp","ppa","spf","spfv"
"67294645","B","DE","RO","H03003","1XA","955","1B2N","1B2N"
"84151083","B","HA","DV","H01154","2YS","5MZ","1ADH","1KSD"
"84154542","B","DE","AX","H01261","1PL","94X","131E","131E"
"84158600","B","HA","TE","H04433","1MA","45J","14FI","14FI"
"84159904","B","HA","DB","H05213","2CD","6IM","1DMC","1NNL"
"84162748","B","OR","CL","H01180","32K","7QE","1DLY","1NN7"
"84164066","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84165070","B","SN","DV","H00621","152","44B","1DLI","1NMR"
"84165411","B","DE","DE","H03962","1R7","94P","134O","1GCE"
"560613","B","OR","CL","H01204","2VV","5CE","19T2","19T2"
"67138120","B","OR","CL","H01204","33W","6NQ","1AY3","1AY3"
"67170400","B","SN","DV","H00621","152","44B","1DLF","1NPG"
"67170401","B","SN","DV","H00621","152","44B","1DLG","1NMP"
"67225601","B","DE","SM","H04512","3CT","6VF","1BUJ","1HJ6"
"67294640","B","DE","RO","H02990","1X4","955","1C6M","1J7P"
"67294643","B","DE","RO","H02990","1X4","955","1C6M","1J7R"
"67338933","B","SN","RO","H00677","277","356","1DLL","1NMU"
"84142909","B","HA","DB","H05213","2FP","5DI","1617","1617"
"84153328","B","HA","SE","H01112","24I","43S","14O2","14O2"
"84165123","B","SN","DV","H00621","211","44B","1DLP","1NMY"
"84171815","B","HA","DV","H00979","163","43H","15FG","15FG"
"64623","B","DE","RO","H01311","24C","421","14NM","14NM"
"67294646","B","DE","RO","H03003","1XA","955","1B2N","1B2N"
"84139056","B","HA","TE","H04755","2DK","5DV","15V7","15V7"
"84139266","B","HA","TE","H04433","1J4","2D7","1ADK","1ADK"
"84143171","B","HA","CA","H04775","2C8","61E","1E4O","1OQZ"
"84151774","B","HA","CA","H04775","1QO","69J","1DNI","1NQO"
"84158733","B","HA","DV","H01154","2CE","40H","1AUP","1FOD"
"84164067","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84171317","B","OR","CL","H01180","20L","438","1E4M","1OQX"
"556522","B","HA","TE","H04420","1YK","60E","19WQ","19WQ"
"558054","B","OR","CL","H01204","20I","2CZ","1588","1588"
"936760","B","OR","CL","H01239","2AC","61S","15IC","15IC"
"67177036","B","SN","DB","H05242","2AD","6IO","1E4K","1OQV"
"67398699","B","HA","SE","H01012","24L","60C","1DQ2","1NTY"
"953281","B","HA","TE","H04427","1KK","46N","15GF","15GF"
"84151542","B","HA","TE","H04433","1MA","68Y","1DPT","1NTP"
"558040","B","OR","CL","H04227","2DM","2BV","15SE","15SE"
"84145862","B","HA","DV","H01040","158","6A0","14YS","14YS"
"547095","B","HA","DB","H05213","2CD","47K","15NT","15NT"
"67222958","B","DE","RO","H03003","1XA","42R","1DKV","1NM6"
"67238171","B","DE","RO","H03003","1XA","42R","1DKV","1NM6"
"67238175","B","DE","RO","H02990","1X4","42R","1DL8","1NMJ"
"84145989","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"84146032","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"84164121","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84165087","B","SN","LU","H00652","23E","4TZ","155X","155X"
"84165415","B","SN","LU","H00651","23F","4U1","19X5","19X5"
"549740","B","OR","CL","H04226","20F","436","1DLU","1NN3"
"67141533","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"67149823","B","SN","DV","H00621","152","6VU","1365","1365"
"67238170","B","DE","RO","H02990","1X4","42R","1DL9","1NMK"
"67257265","B","OR","CL","H04226","20F","436","1DLW","1NN5"
"67259029","B","DE","RO","H02990","1X4","953","1DL7","1NMI"
"67337564","B","DE","RO","H03003","1XA","42R","1DKU","1NM5"
"84140136","B","SN","DV","H00711","1R0","44I","14UX","14UX"
"84142899","B","OR","CL","H04226","20F","436","14QR","14QR"
"84146001","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"84146103","B","HA","DV","H00979","163","69Y","14YW","14YW"
"84146221","B","HA","DV","H00979","163","43I","1370","1370"
"84146224","B","HA","DV","H00979","163","43I","1370","1370"
"84147135","B","HA","DV","H00979","163","5H2","1E4T","1OR4"
"84152263","B","OR","CL","H04227","2DM","621","15SE","15SE"
"84157384","B","DE","RO","H02904","1XF","420","14B5","14B5"
"84160552","B","OR","CL","H01180","32K","6DY","1DM0","1NN9"
"84162085","B","SN","DV","H00621","152","44B","1366","1366"
"84165416","B","SN","LU","H00651","23F","4U1","19X5","19X5"
"84167507","B","DE","SV","H03968","1EJ","6EO","1AUY","1AUY"
"84169510","B","DE","DO","H02891","2Z7","69F","1AQ4","1AQ4"
"935511","B","HA","CA","H04775","2C8","43D","15LQ","15LQ"
"84158576","B","HA","TE","H04420","1YK","45O","14F8","14F8"
"84167821","B","SN","LU","H00651","23F","4U1","19X5","19X5"
"84153665","B","HA","DV","H01154","2AB","6E4","1APS","1APS"
"228078","B","HA","SE","H01012","24L","43L","15MW","15MW"
"84170853","B","OR","CL","H04227","384","447","1BDT","1FI5"
"558114","B","HA","DV","H04190","15V","61M","1DNK","1NQQ"
"67177038","B","HA","DB","H05213","2CD","6IM","1DM6","1NNF"
"67252945","B","SK","SM","H04517","2S6","8F9","198M","198M"
"84167865","B","HA","TE","H04433","1MA","5D6","1DQ8","1NU6"
"554014","B","HA","TE","H04755","1YJ","45N","14Y5","14Y5"
"84161032","B","HA","TE","H04433","1MA","45J","14FI","14FI"
"964890","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"548087","B","HA","DV","H00979","163","61P","15GT","15GT"
"546418","B","OR","CL","H01180","20L","438","14R2","14R2"
"84157413","B","DE","RO","H02904","1X6","42Z","14AB","14AB"
"549298","B","DE","RO","H02913","1X8","42Z","14AL","14AL"
"67260175","B","HA","DV","H01040","158","424","15FF","15FF"
"84144240","B","SN","LI","H00647","233","44D","19ES","19ES"
"84157391","B","DE","RO","H02913","1X9","420","14AN","14AN"
"84157392","B","DE","RO","H02913","1X9","420","14AN","14AN"
"84172660","B","OR","CL","H01204","33W","6NQ","1BA5","1F38"
"20846","B","SN","FO","H00628","21A","44C","14SS","14SS"
"228374","B","HA","SE","H01060","24F","428","15MP","15MP"
"548083","B","HA","TE","H04430","1N0","61O","15HC","15HC"
"548086","B","HA","DV","H01040","158","61Q","15GU","15GU"
"548090","B","HA","TE","H04433","1MA","61N","15HB","15HB"
"579217","B","DE","DE","H03962","1R7","94P","134O","134O"
"583387","B","DE","DO","H02970","1QW","94R","134U","134U"
"594239","B","DE","RO","H02990","1X4","953","149Z","149Z"
"67238173","B","DE","RO","H02990","1X4","42R","1DL7","1NMI"
"67259885","B","DE","RO","H03003","1XA","42R","1DKY","1NM9"
"67259888","B","DE","RO","H02990","1X4","42R","1DLA","1NML"
"81074","B","DE","DO","H02947","1RE","42V","14VC","14VC"
"84146093","B","HA","DV","H01040","158","425","135D","135D"
"84146218","B","DE","DO","H02970","1QW","42Q","134U","134U"
"84150522","B","DE","RO","H02990","1X4","42R","149Z","149Z"
"84151379","B","HA","SE","H01112","24I","43S","14O2","14O2"
"84151753","B","DE","DE","H03962","1R7","465","134O","134O"
"84152581","B","SN","DV","H00711","1R0","44I","14UX","14UX"
"84152827","B","SN","LU","H00720","23C","4U5","14KX","14KX"
"84153611","B","SN","DV","H00621","152","44B","1366","1366"
"84162800","B","DE","RO","H03003","1XA","42R","14AS","14AS"
"84164998","B","SN","LI","H00647","233","44D","19ES","19ES"
"918152","B","HA","SE","H01166","24E","430","14NQ","14NQ"
"927486","B","SN","LU","H00651","23F","44F","14L3","14L3"
"942957","B","SN","LU","H00651","23F","44G","14L2","14L2"
"958616","B","OR","CL","H01180","20L","46D","14R1","14R1"
"553570","B","OR","CL","H04227","2DM","621","15SE","15SE"
"926540","B","HA","CA","H01153","20D","44U","14QK","14QK"
"84146002","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"84146130","B","HA","DV","H01040","158","6A0","14YS","14YS"
"84163800","B","HA","TE","H04433","1MA","6GS","1DPU","1NTQ"
"84164068","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84168970","B","HA","DV","H00979","163","6NM","14YW","14YW"
"934699","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"934735","B","HA","TE","H04433","1MA","45K","14FM","14FM"
"84139111","B","HA","TE","H04430","1M6","2DB","1ADJ","1ADJ"
"84145446","B","SN","LI","H00718","2CK","5ET","15ML","15ML"
"84164105","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84172418","B","SN","DV","H00711","1R0","44I","14UX","14UX"
"84160320","B","OR","RG","H05302","2EN","2D3","15WY","15WY"
"84160517","B","OR","RG","H05272","2DQ","5KS","15T8","15T8"
"917103","B","HA","CA","H04775","2C8","43E","15LT","15LT"
"577854","B","DE","RO","H02399","1XE","422","14AX","14AX"
"84147531","B","SN","DB","H05242","2AD","5ML","15HQ","15HQ"
"84148838","B","SK","VE","H00879","2E6","60V","15UW","15UW"
"84161948","B","HA","NE","H04456","31R","96J","15OT","15OT"
"84161949","B","HA","NE","H04456","31R","96J","15OT","15OT"
"84161950","B","HA","NE","H04453","31U","96H","15OO","15OO"
"84161991","B","HA","NE","H04830","1ME","96L","1AXV","1AXV"
"84161992","B","HA","NE","H04830","1ME","96L","1AXV","1AXV"
"84162001","B","HA","NE","H04453","31U","96H","15OO","15OO"
"84162204","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"84163658","B","HA","NE","H04453","31U","96H","15OO","15OO"
"84163728","B","HA","NE","H04830","1ME","96L","1AXV","1AXV"
"84163731","B","HA","NE","H04453","31U","96H","15OO","15OO"
"84163741","B","HA","NE","H04456","31R","96J","15OT","15OT"
"84163742","B","HA","NE","H04456","31R","96J","15OT","15OT"
"84171452","B","SN","DB","H05434","2FN","6EK","1DM8","1NNH"
"931389","B","HA","TE","H04433","1MA","61J","1DQF","1NUC"
"546480","B","OR","CL","H04226","20F","436","14QR","14QR"
"561794","B","HA","DV","H04189","2AG","46I","15IG","15IG"
"563283","B","DE","RO","H02990","2FB","94Z","15YZ","1FE1"
"84145982","B","HA","SE","H01060","24F","427","19KI","19KI"
"917105","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"228212","B","DE","RO","H03713","1XJ","42U","14BB","14BB"
"546128","B","HA","CA","H04775","2C8","43E","15LT","15LT"
"67253348","B","DE","RO","H02904","1XF","420","14B5","14B5"
"84143999","B","HA","DB","H05501","2XO","5DG","1AA6","1AA6"
"84151181","B","HA","SE","H01166","24E","432","14NP","14NP"
"84165029","B","SN","DV","H00621","152","44B","1DLH","1NMQ"
"84160538","B","DE","RO","H02990","1X4","42R","191A","191A"
"217154","B","DE","DO","H02891","1QV","42Y","1DKI","1NLT"
"579234","B","DE","RO","H02990","1X4","953","149Z","149Z"
"84140559","B","SN","LU","H00720","2CL","4U3","15MM","15MM"
"84142924","B","SN","DB","H05242","2FO","5DS","1616","1616"
"84146126","B","HA","DV","H01154","1QY","43V","1354","1354"
"84171979","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"222024","B","SN","LU","H00720","23C","44N","14KW","14KW"
"84152060","B","SN","LI","H00718","2CK","46C","15ML","15ML"
"926652","B","SN","LU","H00582","23B","44W","14KV","14KV"
"964924","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84151291","B","HA","SE","H01166","24E","432","14NP","14NP"
"84144739","B","DE","DE","H03962","1R7","5D2","134O","134O"
"67142010","B","HA","SE","H01112","24I","6RF","1BF6","1GJ0"
"84172588","B","HA","DV","H01154","1QY","43V","1354","1354"
"84146088","B","HA","DV","H01040","158","424","15FF","15FF"
"84166170","B","DE","DO","H02970","1QW","94R","1350","1GC6"
"103743","B","HA","SV","H01113","1YI","43U","14Y1","14Y1"
"166955","B","OR","CL","H04226","20H","434","14QT","14QT"
"84145988","B","HA","SE","H01060","24F","427","19KI","19KI"
"84157412","B","DE","RO","H02904","1X6","42Z","14AB","14AB"
"84171726","B","OR","CL","H04227","20N","435","1DLX","1NN6"
"918694","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"939030","B","HA","CA","H04775","2C8","4UF","15LQ","15LQ"
"228159","B","HA","DV","H01154","1RG","43X","134R","134R"
"84149709","B","HA","TI","H04890","36Z","95H","1BAO","1F7I"
"84149787","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"84149820","B","HA","TI","H04888","36V","66S","1BD0","1FFZ"
"84149874","B","HA","TI","H04888","36V","96B","1BD2","1FG1"
"84149881","B","HA","TI","H05457","37D","95V","1BAY","1F7S"
"84163727","B","HA","NE","H04830","1ME","96L","1AXV","1AXV"
"557990","B","HA","TE","H04433","1MA","60O","1DQB","1NU8"
"67190759","B","DE","RO","H03003","1XA","42R","1DKQ","1NM1"
"67191750","B","DE","RO","H02990","1X4","42R","1DL2","1NMD"
"67227001","B","HA","TE","H04433","1MA","60O","1DQ8","1NU6"
"84158428","B","DE","RO","H03003","1XA","42R","15GW","15GW"
"84168989","B","DE","RO","H02990","1X4","42R","1DL0","1NMB"
"84169132","B","DE","RO","H02990","1X4","42R","1DL1","1NMC"
"84172240","B","HA","DV","H00979","163","6RT","1DOI","1NRN"
"84172322","B","DE","RO","H03007","1X2","38J","1DKJ","1NLU"
"84172332","B","DE","RO","H02904","1X6","42Z","1DKM","1NLX"
"84172421","B","DE","RO","H02913","1X8","42Z","1DKO","1NLZ"
"931391","B","HA","TE","H04433","1MA","60O","1DQG","1NUD"
"935626","B","HA","TE","H04430","1N0","45M","14EM","14EM"
"935631","B","HA","TE","H04433","1MA","45K","14FM","14FM"
"942976","B","HA","CA","H04775","2C7","43E","1DN9","1NQE"
"942990","B","HA","CA","H04775","2C7","43E","1DNA","1NQF"
"84164639","B","DE","RO","H03003","1XA","42R","15FA","15FA"
"226146","B","HA","DV","H01040","158","424","15FF","15FF"
"226296","B","HA","DV","H00979","163","43H","15FG","15FG"
"67336811","B","HA","DV","H00979","163","6TJ","1E4Q","1OR1"
"84138436","B","HA","DV","H00979","163","5EB","15FG","15FG"
"84141642","B","HA","TE","H04433","1MA","5E9","1DQ7","1NU5"
"84148421","B","HA","SE","H01012","24L","61D","1DP2","1NSZ"
"84165423","B","DE","DO","H02970","2F9","94T","15YX","15YX"
"84172682","B","HA","DB","H05213","2FP","5DI","1617","1617"
"67302690","B","HA","DV","H00979","163","6Z3","1DNS","1NQY"
"67308066","B","HA","DV","H00979","163","5H2","1DNO","1NQU"
"84164996","B","SN","LI","H00647","233","44D","19ES","19ES"
"67353847","B","DE","RO","H03003","1XA","42R","1DKP","1NM0"
"84169083","B","DE","RO","H02990","1X4","42R","191A","191A"
"84161392","B","HA","DV","H01154","1QY","43V","1354","1354"
"84144309","B","SN","LI","H00647","233","44D","19ES","19ES"
"84165132","B","SN","DV","H00621","152","44B","1366","1366"
"84172272","B","HA","DV","H00979","163","6RT","1DO4","1NRA"
"557894","B","SK","DV","H04791","2DG","4V3","15RR","15RR"
"562027","B","HA","AX","H03687","2BY","4V9","15K7","15K7"
"67198353","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"67198369","B","HA","TI","H03732","36L","64V","1BB0","1F7U"
"67198370","B","HA","TI","H04888","36V","66S","1BD0","1FFZ"
"67198374","B","HA","TI","H04888","36V","66S","1BD0","1FFZ"
"67198375","B","HA","TI","H04888","36V","66S","1BD0","1FFZ"
"84138408","B","SN","DV","H00711","1R0","2BX","14UX","14UX"
"84149786","B","HA","TI","H03732","36L","64V","1BB0","1F7U"
"84149866","B","HA","TI","H04889","36X","965","1BCK","1F8X"
"84149891","B","HA","TI","H03732","36N","655","1BB2","1F7W"
"84149892","B","HA","TI","H03732","36O","657","1BB4","1F7Y"
"84150017","B","HA","TI","H04892","373","67E","1BAV","1F7P"
"84150018","B","HA","TI","H04892","373","95N","1BAT","1F7N"
"84150045","B","HA","TI","H04892","373","67C","1BAU","1F7O"
"84150202","B","HA","TI","H04886","36R","65P","1BBH","1F60"
"84154638","B","HA","TI","H04892","373","95N","1BAT","1F7N"
"84161057","B","HA","TI","H04887","36S","678","1BAS","1F7M"
"84161158","B","HA","TI","H04888","36T","66O","1BAP","1F7J"
"84161947","B","HA","NE","H04454","1L4","6FA","13YV","13YV"
"84162271","B","HA","TI","H04888","36V","670","1BD1","1FG0"
"84163653","B","HA","TI","H04889","36X","967","1BCL","1F8Y"
"84169772","B","HA","DB","H05213","2CD","5MJ","1DM3","1NNC"
"557692","B","SK","DV","H00822","15C","4VD","11G3","11G3"
"558080","B","DE","DO","H01302","2BW","4V1","15K3","15K3"
"562546","B","HA","AX","H05151","2DR","4V7","15TA","15TA"
"562553","B","SN","DV","H00621","2DH","4VB","15RS","1CSY"
"67198360","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"84145653","B","HA","DV","H01154","2YS","5MZ","1ADH","1ADH"
"84159583","B","HA","DV","H00979","163","6EU","1DO3","1NR9"
"67146675","B","HA","DV","H00979","163","6JQ","1DOF","1NRK"
"965107","B","HA","DV","H01154","2CE","45A","15YM","15YM"
"67188710","B","SN","DV","H00575","1R6","44I","15PS","15PS"
"67198350","B","HA","TI","H03732","36P","66Q","1BB5","1F7Z"
"67198377","B","HA","TI","H05457","37D","67K","1BAY","1F7S"
"84150217","B","HA","TI","H04892","373","67G","1BAW","1F7Q"
"84161065","B","HA","DV","H00979","163","6EI","1DNX","1NR3"
"84163729","B","HA","NE","H04444","2W7","6F6","19X9","19X9"
"84143053","B","SN","LI","H00580","235","4WN","14KM","14KM"
"84147665","B","HA","DV","H00979","163","5N1","1DNT","1NQZ"
"922947","B","SN","LI","H00580","235","44R","14KM","14KM"
"928137","B","HA","DV","H00979","163","43I","1370","1370"
"928138","B","HA","DV","H01154","1QY","43V","1354","1354"
"554769","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"84151397","B","HA","SE","H01166","24E","43Z","14NR","14NR"
"44458","B","SN","OE","H00696","253","44H","14P8","14P8"
"84158587","B","HA","TE","H04433","1MA","45K","14FM","14FM"
"84161021","B","HA","TE","H04433","1MA","45K","14FM","14FM"
"84160638","B","DE","RO","H02990","1X4","42R","191A","191A"
"554013","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"67283427","B","HA","SE","H01112","24I","43S","1DOK","1NRP"
"84151395","B","HA","SE","H01166","24E","43Z","14NR","14NR"
"84140573","B","SN","LU","H00720","2CL","4U3","15MM","15MM"
"564769","B","SN","LU","H00720","2CL","46B","15MM","15MM"
"202790","B","OR","CL","H01180","20M","433","14R3","14R3"
"213772","B","HA","DV","H01040","158","426","15FF","15FF"
"84171442","B","HA","DV","H01154","1QY","43V","1354","1354"
"84172792","B","OR","CL","H01204","33W","6NQ","1BA5","1F38"
"551563","B","SK","VE","H00879","2E6","60V","15UW","15UW"
"84147106","B","SK","VE","H00879","2E6","5LY","15UW","15UW"
"84146127","B","HA","DV","H01154","1QY","43V","1354","1354"
"84162205","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"583420","B","DE","DO","H02970","1QW","94R","134U","134U"
"84149139","B","SN","LU","H00720","2CL","4U3","15MM","15MM"
"120730","B","SN","LU","H02042","23A","352","1560","1560"
"557338","B","OR","CL","H01204","20I","2BT","1588","1588"
"67198358","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"67198368","B","HA","TI","H05457","37D","67K","1BAY","1F7S"
"71471","B","SN","DB","H00620","1QX","37W","1352","1352"
"84162206","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"546173","B","DE","DE","H03962","1R7","94P","134O","1FJ2"
"553679","B","DE","AX","H01261","1PJ","61C","12ZU","12ZU"
"564488","B","DE","DO","H02970","1QW","42Q","134U","134U"
"67198362","B","HA","TI","H04892","373","67A","1BAT","1F7N"
"84151730","B","DE","DO","H02970","1QW","69H","134U","134U"
"954658","B","DE","AX","H01261","1PJ","42O","12ZU","12ZU"
"954660","B","DE","AX","H02963","1PK","42O","1319","1319"
"67198352","B","HA","TI","H04888","36V","670","1BD1","1FG0"
"67198363","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"84150427","B","DE","RO","H02990","1X4","42R","149Z","149Z"
"84161022","B","HA","TE","H04433","1MA","45J","14FI","14FI"
"84158586","B","HA","TE","H04433","1MA","45K","14FM","14FM"
"67283425","B","HA","SE","H01112","24I","43S","1DOM","1NSX"
"84162941","B","SN","LI","H00647","233","44D","19ES","19ES"
"84146095","B","HA","DV","H01040","158","425","135D","135D"
"84158580","B","HA","TE","H04420","1YK","45O","14F8","14F8"
"210115","B","HA","SE","H01166","24E","431","14NO","14NO"
"84140529","B","SN","DV","H00621","152","44B","1366","1366"
"67149825","B","SN","DV","H00621","152","6VU","1365","1365"
"67198357","B","HA","TI","H04892","373","67A","1BAT","1F7N"
"67198364","B","HA","TI","H04892","373","67C","1BAU","1F7O"
"67198371","B","HA","TI","H04892","373","67G","1BAW","1F7Q"
"67198378","B","HA","TI","H04887","36S","678","1BAS","1F7M"
"67249835","B","SK","SM","H04501","1HS","95B","12PJ","12PJ"
"84165128","B","SN","DV","H00621","152","44B","1366","1366"
"84171164","B","HA","SE","H01012","24L","6PY","14O5","14O5"
"84171167","B","HA","SE","H01060","24F","6Q0","14NT","14NT"
"84138376","B","SK","DV","H00852","1RB","40U","136I","136I"
"84144011","B","SN","LI","H00718","2CK","46C","15ML","15ML"
"550067","B","OR","CL","H01180","20L","438","14R2","14R2"
"551940","B","HA","DV","H00979","163","4UP","1370","1370"
"84152161","B","SN","LI","H00718","2CK","46C","15ML","15ML"
"925069","B","HA","SE","H01012","24L","440","14O6","14O6"
"926185","B","DE","RO","H02990","1X4","343","149Z","149Z"
"84165127","B","SN","DV","H00621","211","44B","14RV","14RV"
"84161945","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"67208375","B","HA","DB","H05213","2CD","74T","1DM5","1NNE"
"84145943","B","HA","SE","H01060","24F","427","19KI","19KI"
"935506","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"543841","B","DE","RO","H02950","1XG","422","14B6","1FDH"
"583383","B","DE","DE","H03962","1R7","94P","134O","134O"
"590205","B","DE","RO","H03003","1XA","953","15GW","15GW"
"84138934","B","HA","CA","H04775","2C8","43E","15LT","15LT"
"84141250","B","SN","DV","H00621","152","44B","1366","1366"
"84144307","B","SN","LI","H00647","233","44D","19ES","19ES"
"84146153","B","HA","DV","H00979","163","43I","1370","1370"
"84146823","B","OR","CL","H01204","33W","6NQ","1AY3","1AY3"
"84150221","B","SN","DV","H00621","152","44B","1366","1366"
"84153535","B","DE","RO","H02990","1X4","953","149Z","149Z"
"84161100","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"935498","B","HA","TE","H04755","1YJ","45N","14Y5","14Y5"
"84156407","B","HA","TI","H03732","36P","963","1BB5","1F7Z"
"67198351","B","HA","TI","H03732","36O","657","1BB4","1F7Y"
"84161136","B","HA","TI","H04892","373","95T","1BAW","1F7Q"
"557370","B","HA","SE","H01112","2CM","2FW","15YO","15YO"
"592794","B","DE","DO","H02970","2F9","94T","18ZQ","1FDR"
"67198354","B","HA","TI","H03732","36P","66Q","1BB5","1F7Z"
"67198355","B","HA","TI","H03732","36N","655","1BB2","1F7W"
"67198356","B","HA","TI","H04890","36Z","64R","1BAN","1F7H"
"67198365","B","HA","TI","H04892","373","67E","1BAV","1F7P"
"67198366","B","HA","TI","H04890","36Z","64T","1BAO","1F7I"
"67198367","B","HA","TI","H04886","36R","65P","1BBH","1F60"
"67198376","B","HA","TI","H04889","36X","65H","1BCL","1F8Y"
"67198380","B","HA","TI","H04888","36V","66S","1BD0","1FFZ"
"67198381","B","HA","TI","H04888","36T","66O","1BAP","1F7J"
"67198382","B","HA","TI","H04890","36Z","64T","1BAO","1F7I"
"67198383","B","HA","TI","H04888","36V","672","1BD2","1FG1"
"84151091","B","HA","TE","H04433","1MA","45J","14FI","14FI"
"84160570","B","HA","TE","H04433","1MA","6ES","1DQD","1NUA"
"552146","B","HA","TE","H04433","1MA","61H","14FI","14FI"
"552280","B","HA","DV","H00979","163","4UL","1DOD","1NRI"
"67198359","B","HA","TI","H03732","36L","64V","1BB0","1F7U"
"84151058","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"928135","B","HA","DV","H01040","158","425","135D","135D"
"84145999","B","HA","SE","H01012","24L","43K","19KJ","19KJ"
"84146243","B","DE","RO","H03003","1XA","42R","15GW","1F9X"
"84160352","B","DE","RO","H03003","1XA","42R","15GW","15GW"
"67333995","B","DE","SM","H06545","3CS","6VD","1DLC","1NMM"
"84162851","B","DE","RO","H02990","2FB","680","191C","191C"
"67222959","B","DE","RO","H02990","1X4","42R","1DL8","1NMJ"
"84172344","B","DE","DO","H02970","1QW","42Q","134U","134U"
"964493","B","HA","SE","H01166","28F","461","15A0","15A0"
"556526","B","HA","TE","H04420","1YK","60E","19WQ","1FSH"
"918583","B","HA","CA","H04775","2C8","43D","15LQ","15LQ"
"84171874","B","OR","CL","H04227","20N","435","14R5","14R5"
"84164826","B","SN","LU","H00720","2EX","2D9","15XJ","15XJ"
"84164728","B","DE","RO","H03003","1XA","42R","15GW","15GW"
"84146223","B","HA","DV","H00979","163","43I","1370","1370"
"67198372","B","HA","TI","H04890","36Z","64T","1BAO","1F7I"
"67198379","B","HA","TI","H04888","36V","672","1BD2","1FG1"
"67226919","B","DE","DO","H02970","1QW","42Q","1DKB","1NLM"
"84162191","B","HA","TE","H04430","1N0","45M","14EM","14EM"
"84158423","B","DE","RO","H03003","1XA","42R","15GW","15GW"
"555847","B","SN","LU","H00720","2CL","4U3","15MM","15MM"
"67190483","B","SN","LU","H00720","2CL","4U3","15MM","15MM"
"84157063","B","SN","DB","H00620","1QX","44A","1E4P","1OR0"
"84157417","B","DE","RO","H02904","1X6","42Z","14AB","14AB"
"84170905","B","OR","RG","H05302","366","6R9","1B8B","1EVS"
"84162843","B","DE","RO","H02990","2FB","680","191C","191C"
"84162901","B","DE","DO","H02970","2F9","67Y","18ZQ","18ZQ"
"544553","B","DE","RO","H02399","1XE","422","14AX","14AX"
"546015","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"546124","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"546125","B","HA","CA","H01037","2C6","38U","15LD","15LD"
"546129","B","HA","CA","H04775","2C8","43D","15LQ","15LQ"
"546412","B","OR","CL","H01180","20L","438","14R2","14R2"
"546485","B","OR","CL","H04226","20F","436","14QR","14QR"
"546491","B","OR","CL","H04226","20F","436","14QR","14QR"
"549303","B","DE","RO","H02904","1X6","42Z","14AB","14AB"
"549865","B","DE","DO","H02891","1QV","42Y","136S","136S"
"553569","B","OR","CL","H04227","2DM","621","15SE","15SE"
"554007","B","HA","TE","H04430","1N0","45M","14EM","14EM"
"554012","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"554608","B","SK","VE","H05257","2CO","40B","15N1","15N1"
"554695","B","HA","TE","H04430","1N0","45L","14EJ","14EJ"
"554748","B","HA","TE","H04420","1YK","45O","14F8","14F8"
"554770","B","HA","TE","H04755","1YJ","45Y","159G","159G"
"555203","B","DE","RO","H03003","249","42S","14NH","14NH"
"558127","B","SN","DV","H00621","211","44B","14RV","14RV"
"560036","B","SN","LU","H00720","2EX","2D9","15XJ","15XJ"
"561783","B","HA","DV","H04189","2AG","61Y","15IF","15IF"
"566101","B","HA","CA","H04775","2C8","34T","15LT","15LT"
"566732","B","DE","AX","H02963","1PK","76A","1319","1319"
"568424","B","DE","RO","H03003","1XA","953","15GW","15GW"
"579215","B","DE","DE","H03962","1R7","94P","134O","134O"
"579228","B","DE","RO","H03003","1XA","953","15GW","15GW"
"579237","B","DE","RO","H02990","1X4","953","149Z","149Z"
"583381","B","DE","DE","H03962","1R7","94P","134O","134O"
